player_division,player_number,player_score,player_rating
14UG,194,31,3.4444444444444446
14UG,195,36,4.0
14UG,196,27,3.0
14UG,197,39,4.333333333333333
14UG,198,22,2.4444444444444446
14UG,199,24,2.6666666666666665
14UG,200,29,3.2222222222222223
14UG,201,36,4.0
14UG,202,29,3.2222222222222223
14UG,203,20,2.2222222222222223
14UG,204,33,3.6666666666666665
14UG,205,20,2.2222222222222223
14UG,206,41,4.555555555555555
14UG,207,37,4.111111111111111
14UG,208,24,2.6666666666666665
14UG,209,32,3.5555555555555554
14UG,210,28,3.111111111111111
14UG,211,27,3.0
14UG,330,39,4.333333333333333
14UG,331,41,4.555555555555555
14UG,332,34,3.7777777777777777
14UG,333,45,5.0
14UG,334,31,3.4444444444444446
14UG,335,36,4.0
14UG,336,45,5.0
14UG,337,39,4.333333333333333
14UG,338,31,3.4444444444444446
14UG,339,26,2.888888888888889
14UG,340,21,2.3333333333333335
14UG,341,27,3.0
14UG,342,22,2.4444444444444446
14UG,343,26,2.888888888888889
14UG,344,24,2.6666666666666665
14UG,345,24,2.6666666666666665
14UG,346,23,2.5555555555555554
14UG,347,16,1.7777777777777777
14UG,348,9,1.0
