player_division,player_number,player_score,player_rating
8UB,212,28,3.111111111111111
8UB,213,40,4.444444444444445
8UB,214,35,3.888888888888889
8UB,215,20,2.2222222222222223
8UB,216,20,2.2222222222222223
8UB,217,36,4.0
8UB,218,33,3.6666666666666665
8UB,219,27,3.0
8UB,220,28,3.111111111111111
8UB,221,23,2.5555555555555554
8UB,222,16,1.7777777777777777
8UB,223,27,3.0
8UB,224,43,4.777777777777778
8UB,225,30,3.3333333333333335
8UB,226,38,4.222222222222222
8UB,227,33,3.6666666666666665
8UB,228,17,1.8888888888888888
8UB,229,33,3.6666666666666665
8UB,230,36,4.0
8UB,231,20,2.2222222222222223
8UB,232,27,3.0
8UB,233,27,3.0
8UB,234,20,2.2222222222222223
8UB,235,29,3.2222222222222223
